"Date Of Stop","Month Of Stop","Year Of Stop","Time Of Stop","Time Period","Description","Belts","Personal Injury","Commercial License","Commercial Vehicle","Vehicle Type","Year","Make","Model","Color","Race","Gender"
"02/19/2017","02","2017","16:27:00","16-17","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION","No","No","No","No","02 - Automobile","2017","CHEVROLET","TAHOE","BLACK","ASIAN","F"
"03/19/2017","03","2017","01:08:00","01-02","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2017","HYUNDAI","SONATA","BLUE","BLACK","F"
"03/19/2017","03","2017","01:08:00","01-02","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS","No","No","No","No","02 - Automobile","2017","HYUNDAI","SONATA","BLUE","BLACK","F"
"03/23/2017","03","2017","11:16:00","11-12","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH","No","No","No","No","02 - Automobile","2017","HYUNDAI","ELANTRA","BLUE","WHITE","M"
"03/26/2017","03","2017","22:02:00","22-23","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2017","HONDA","OD","GRAY","WHITE","M"
"04/08/2017","04","2017","20:17:00","20-21","FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR","No","No","No","No","02 - Automobile","2017","HYUNDAI","TUCSON","GOLD","HISPANIC","F"
"04/14/2017","04","2017","15:57:00","15-16","EXCEEDING POSTED MAXIMUM SPEED LIMIT: 57 MPH IN A POSTED 35 MPH ZONE","No","No","No","No","28 - Other","2017","MITSUBISHI","SUV OUTLANDER","N/A","BLACK","F"
"11/23/2016","11","2016","21:49:00","21-22","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2016","NISSAN","ROGUE","SILVER","WHITE","M"
"11/23/2016","11","2016","06:16:00","06-07","DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE","No","No","No","No","02 - Automobile","2016","TOYOTA","COROLLA","BLACK","BLACK","M"
"11/27/2016","11","2016","06:17:00","06-07","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","Yes","No","02 - Automobile","2016","FORD","FOCUS","GRAY","WHITE","M"
"11/28/2016","11","2016","08:18:00","08-09","FAILURE TO STOP AT STOP SIGN AT NEAREST POINT OF APPROACHING TRAFFIC VIEW","No","No","No","No","02 - Automobile","2016","NISS","VERSA 4D","GRAY","BLACK","F"
"12/01/2016","12","2016","22:57:00","22-23","DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN","No","No","No","No","02 - Automobile","2016","MAZD","4S","SILVER","WHITE","M"
"12/06/2016","12","2016","01:08:00","01-02","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2016","NISS","SENTRA","BLUE, LIGHT","WHITE","M"
"12/06/2016","12","2016","01:08:00","01-02","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUT-OF-STATE LICENSE","No","No","No","No","02 - Automobile","2016","NISS","SENTRA","BLUE, LIGHT","WHITE","M"
"12/06/2016","12","2016","01:08:00","01-02","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE","No","No","No","No","02 - Automobile","2016","NISS","SENTRA","BLUE, LIGHT","WHITE","M"
"12/06/2016","12","2016","01:08:00","01-02","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2016","NISS","SENTRA","BLUE, LIGHT","WHITE","M"
"12/06/2016","12","2016","01:08:00","01-02","EXCEEDING MAXIMUM SPEED: 65 MPH IN A POSTED 45 MPH ZONE","No","No","No","No","02 - Automobile","2016","NISS","SENTRA","BLUE, LIGHT","WHITE","M"
"12/06/2016","12","2016","01:08:00","01-02","DRIVING MOTOR VEH WHILE LIC. SUSPENDED IN OTHER STATE FOR FAILURE TO PAY FINE","No","No","No","No","02 - Automobile","2016","NISS","SENTRA","BLUE, LIGHT","WHITE","M"
"12/05/2016","12","2016","23:59:00","23-24","FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.","No","No","No","No","02 - Automobile","2016","FORD","ESCAPE","GRAY","WHITE","M"
"12/07/2016","12","2016","20:27:00","20-21","EXCEEDING MAXIMUM SPEED: 40 MPH IN A POSTED 30 MPH ZONE","No","No","No","No","02 - Automobile","2016","JEEP","RENEGADE","BLACK","BLACK","M"
"12/07/2016","12","2016","20:27:00","20-21","FAILURE TO STOP AT STOP SIGN","No","No","No","No","02 - Automobile","2016","JEEP","RENEGADE","BLACK","BLACK","M"
"12/12/2016","12","2016","21:54:00","21-22","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED","No","No","No","No","02 - Automobile","2016","NISSAN","VERSA","GRAY","BLACK","F"
"12/19/2016","12","2016","11:43:00","11-12","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","02 - Automobile","2016","FRD","FOCUS","BLUE, DARK","WHITE","M"
"12/19/2016","12","2016","11:43:00","11-12","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2016","FRD","FOCUS","BLUE, DARK","WHITE","M"
"10/29/2015","10","2015","20:54:00","20-21","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE","No","No","No","No","02 - Automobile","2016","HYUNDAI","VELOSTER","BLACK","OTHER","M"
"10/29/2015","10","2015","20:54:00","20-21","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2016","HYUNDAI","VELOSTER","BLACK","OTHER","M"
"10/29/2015","10","2015","20:54:00","20-21","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2016","HYUNDAI","VELOSTER","BLACK","OTHER","M"
"03/31/2016","03","2016","23:22:00","23-24","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"03/31/2016","03","2016","23:22:00","23-24","DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"03/31/2016","03","2016","23:22:00","23-24","DRIVING WHILE IMPAIRED BY ALCOHOL","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"03/31/2016","03","2016","23:22:00","23-24","FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"03/31/2016","03","2016","23:22:00","23-24","STOPPING VEH. ON CROSSWALK","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"03/31/2016","03","2016","23:22:00","23-24","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"03/31/2016","03","2016","23:22:00","23-24","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","GRAY","WHITE","F"
"05/03/2016","05","2016","21:41:00","21-22","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS","No","No","No","No","02 - Automobile","2016","NISSAN","VERSA","BEIGE","WHITE","M"
"05/21/2016","05","2016","02:51:00","02-03","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE","No","No","No","No","02 - Automobile","2016","BMW","4S","BLACK","WHITE","F"
"11/03/2015","11","2015","09:04:00","09-10","EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE","No","No","No","No","02 - Automobile","2016","AUDI","4DR","BLACK","HISPANIC","M"
"08/24/2016","08","2016","17:16:00","17-18","EXCEEDING MAXIMUM SPEED: 63 MPH IN A POSTED 40 MPH ZONE","No","No","No","No","02 - Automobile","2016","CHEV","CRUZE","GRAY","WHITE","M"
"08/07/2015","08","2015","12:35:00","12-13","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","Yes","No","No","No","02 - Automobile","2016","FORD","TAURUS","BLACK","WHITE","M"
"09/24/2016","09","2016","01:34:00","01-02","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","HONDA","CIVIC","BLACK","BLACK","F"
"10/02/2016","10","2016","13:05:00","13-14","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION","Yes","Yes","No","No","02 - Automobile","2016","VOLKSWAGEN","PASSAT","BLACK","WHITE","M"
"10/04/2016","10","2016","13:10:00","13-14","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","02 - Automobile","2016","CHEV","SUV","MAROON","WHITE","M"
"10/06/2016","10","2016","12:24:00","12-13","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","AUDI","Q3","BLACK","WHITE","M"
"10/11/2016","10","2016","22:20:00","22-23","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","VOLKS","GTI","WHITE","OTHER","M"
"10/11/2016","10","2016","22:20:00","22-23","FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE","No","No","No","No","02 - Automobile","2016","VOLKS","GTI","WHITE","OTHER","M"
"10/12/2016","10","2016","16:35:00","16-17","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","JEEP","COMPASS","BLACK","WHITE","M"
"10/17/2016","10","2016","17:16:00","17-18","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","NISS","ALTIMA","SILVER","BLACK","M"
"10/18/2016","10","2016","00:31:00","00-01","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2016","KIA","SPORTAGE","WHITE","BLACK","M"
"10/21/2016","10","2016","01:48:00","01-02","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","02 - Automobile","2016","CHEVY","4S","BLUE","BLACK","M"
"10/31/2016","10","2016","23:18:00","23-24","FAILURE OF DRIVER TO YIELD RIGHT-OF-WAY TO EMERGENCY VEH. USING SIGNALS","No","No","Yes","No","02 - Automobile","2016","HONDA","CIVIC","BLACK","WHITE","M"
"10/31/2016","10","2016","23:18:00","23-24","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","Yes","No","02 - Automobile","2016","HONDA","CIVIC","BLACK","WHITE","M"
"11/07/2016","11","2016","08:17:00","08-09","EXCEEDING THE POSTED SPEED LIMIT OF 25 MPH","No","No","No","No","02 - Automobile","2016","LINCOLN","MK X","RED","WHITE","F"
"11/07/2016","11","2016","08:17:00","08-09","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2016","LINCOLN","MK X","RED","WHITE","F"
"08/27/2016","08","2016","22:55:00","22-23","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2016","GMC","SUV","BLACK","WHITE","M"
"11/17/2016","11","2016","11:37:00","11-12","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","TOYT","SIENNA","SILVER","BLACK","M"
"11/17/2016","11","2016","22:11:00","22-23","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","No","No","No","No","02 - Automobile","2016","KIDA","OPTIMA","BLACK","WHITE","M"
"11/22/2016","11","2016","15:11:00","15-16","DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS","No","No","No","No","02 - Automobile","2016","VOLVO","XC60","WHITE","WHITE","F"
"11/22/2016","11","2016","18:31:00","18-19","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","Yes","No","No","No","02 - Automobile","2016","FORD","TK ESC RENTAL","RED","BLACK","M"
"11/22/2016","11","2016","15:11:00","15-16","DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK","No","No","No","No","02 - Automobile","2016","VOLVO","XC60","WHITE","WHITE","F"
"04/13/2016","04","2016","23:02:00","23-24","FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION","No","No","No","No","02 - Automobile","2016","NISSAN","VERSA","SILVER","WHITE","M"
"06/07/2016","06","2016","13:15:00","13-14","PEDESTRIAN FAIL TO OBEY ""UPRAISED HAND"" SIGNAL","No","No","No","No","28 - Other","2016","N/A","N/A","N/A","WHITE","M"
"09/30/2016","09","2016","13:07:00","13-14","LEFT TURN FROM IMPROPER ROAD POSITION","No","No","No","No","02 - Automobile","2016","JEEP","LIMITED","BLACK","WHITE","M"
"06/01/2016","06","2016","00:14:00","00-01","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","No","No","No","No","02 - Automobile","2016","LINCOLN","4D","BLACK","BLACK","M"
"06/01/2016","06","2016","00:14:00","00-01","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103","No","No","No","No","02 - Automobile","2016","LINCOLN","4D","BLACK","BLACK","M"
"06/01/2016","06","2016","00:14:00","00-01","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2016","LINCOLN","4D","BLACK","BLACK","M"
"09/07/2016","09","2016","15:37:00","15-16","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2016","TOYOTA","CAMRY","BLACK","HISPANIC","M"
"09/07/2016","09","2016","15:37:00","15-16","DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","No","No","No","No","02 - Automobile","2016","TOYOTA","CAMRY","BLACK","HISPANIC","M"
"09/07/2016","09","2016","15:37:00","15-16","FAILURE TO STOP AT STOP SIGN","No","No","No","No","02 - Automobile","2016","TOYOTA","CAMRY","BLACK","HISPANIC","M"
"07/02/2016","07","2016","00:55:00","00-01","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2016","CHEVROLET","SONIC","GRAY","HISPANIC","M"
"08/23/2016","08","2016","12:18:00","12-13","EXCEEDING MAXIMUM SPEED: 55 MPH IN A POSTED 45 MPH ZONE","No","No","No","No","02 - Automobile","2016","HYUN","ACCENT 4S","SILVER","BLACK","F"
"08/12/2016","08","2016","19:39:00","19-20","LEFT TURN FROM IMPROPER ROAD POSITION","No","No","No","No","03 - Station Wagon","2016","CHEVY","TRAX","BLACK","WHITE","F"
"04/19/2016","04","2016","23:50:00","23-24","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","No","No","No","No","05 - Light Duty Truck","2016","JEEP","CHEROKEE","BLACK","BLACK","F"
"04/19/2016","04","2016","23:50:00","23-24","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","No","No","No","No","05 - Light Duty Truck","2016","JEEP","CHEROKEE","BLACK","BLACK","F"
"06/14/2016","06","2016","07:20:00","07-08","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE","No","No","No","No","20 - Commercial Rig","2016","BUICK","4DR","WHITE","BLACK","M"
"06/13/2016","06","2016","11:25:00","11-12","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH","No","No","No","No","02 - Automobile","2016","TOYT","RAV4","BLACK","WHITE","M"
"09/20/2016","09","2016","10:27:00","10-11","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","No","No","No","No","02 - Automobile","2016","CHEVY","MALIBU","SILVER","WHITE","M"
"06/01/2016","06","2016","16:43:00","16-17","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","CHEVY","4D","SILVER","BLACK","M"
"05/27/2016","05","2016","09:05:00","09-10","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","HYUNDAI","ELANTRA","WHITE","BLACK","M"
"09/07/2016","09","2016","10:42:00","10-11","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH","No","No","No","No","02 - Automobile","2016","FORD","4S","BLACK","OTHER","F"
"09/07/2016","09","2016","10:42:00","10-11","EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT","No","No","No","No","02 - Automobile","2016","FORD","4S","BLACK","OTHER","F"
"07/11/2016","07","2016","07:47:00","07-08","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","HYUN","ACNT","GRAY","WHITE","F"
"04/14/2016","04","2016","09:26:00","09-10","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","NISS","4D","WHITE","BLACK","M"
"06/30/2016","06","2016","07:11:00","07-08","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","TOYT","4D","BLACK","WHITE","M"
"06/17/2016","06","2016","08:28:00","08-09","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED","No","No","No","No","02 - Automobile","2016","CHEVY","EQUINOX","BLACK","WHITE","F"
"06/13/2016","06","2016","11:25:00","11-12","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2016","TOYT","RAV4","BLACK","WHITE","M"
"06/13/2016","06","2016","11:25:00","11-12","FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.","No","No","No","No","02 - Automobile","2016","TOYT","RAV4","BLACK","WHITE","M"
"07/23/2016","07","2016","03:07:00","03-04","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH","No","No","No","No","02 - Automobile","2016","MERCEDES","4DR","BLACK","OTHER","M"
"05/23/2016","05","2016","22:42:00","22-23","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2016","LINCOLN","4D","BLACK","WHITE","F"
"09/01/2016","09","2016","20:41:00","20-21","EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH","No","No","No","No","02 - Automobile","2016","NISSAN","4D","BLACK","WHITE","F"
"06/10/2016","06","2016","21:01:00","21-22","FAILURE STOP AND YIELD AT THRU HWY","No","No","No","No","02 - Automobile","2016","CHRYSLER","300 4S","WHITE","HISPANIC","M"
"05/06/2016","05","2016","02:40:00","02-03","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","No","No","No","No","02 - Automobile","2016","NISS","ALTIMA","SILVER","BLACK","F"
"07/06/2016","07","2016","00:58:00","00-01","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH","No","No","No","No","02 - Automobile","2016","FORD","4DR","RED","OTHER","M"
"07/06/2016","07","2016","00:58:00","00-01","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","No","No","No","No","02 - Automobile","2016","FORD","4DR","RED","OTHER","M"
"07/06/2016","07","2016","00:58:00","00-01","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","FORD","4DR","RED","OTHER","M"
"08/03/2016","08","2016","21:23:00","21-22","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH","No","No","No","No","02 - Automobile","2016","HYUND","4DR","SILVER","WHITE","F"
"06/12/2016","06","2016","00:46:00","00-01","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING","No","No","No","No","02 - Automobile","2016","VW","4D","GRAY","WHITE","F"
"07/21/2016","07","2016","17:28:00","17-18","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2016","TOYT","4D","BLACK","WHITE","M"
"04/09/2016","04","2016","22:24:00","22-23","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED","No","No","No","No","02 - Automobile","2016","FORD","4D","SILVER","BLACK","M"
"08/23/2016","08","2016","12:18:00","12-13","PASSING IN NO PASSING ZONE","No","No","No","No","02 - Automobile","2016","HYUN","ACCENT 4S","SILVER","BLACK","F"
"08/23/2016","08","2016","12:18:00","12-13","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2016","HYUN","ACCENT 4S","SILVER","BLACK","F"
"08/23/2016","08","2016","12:18:00","12-13","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON","No","No","No","No","02 - Automobile","2016","HYUN","ACCENT 4S","SILVER","BLACK","F"
"05/15/2016","05","2016","15:47:00","15-16","DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL","No","No","No","No","02 - Automobile","2016","VOLKS","SUV","BLUE","WHITE","F"
"08/10/2016","08","2016","01:08:00","01-02","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","No","No","No","No","02 - Automobile","2016","DODGE","CHARGER","GRAY","BLACK","M"
"08/10/2016","08","2016","01:08:00","01-02","DRIVER CHANGING LANES WHEN UNSAFE","No","No","No","No","02 - Automobile","2016","DODGE","CHARGER","GRAY","BLACK","M"
"08/10/2016","08","2016","01:08:00","01-02","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","No","No","No","No","02 - Automobile","2016","DODGE","CHARGER","GRAY","BLACK","M"
"08/09/2016","08","2016","11:25:00","11-12","DRIVE ACROSS PRIVATE PROPERTY, LEAVE THE ROADWAY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE","No","No","No","No","02 - Automobile","2016","KIA","RIO","SILVER","WHITE","F"
"08/09/2016","08","2016","11:25:00","11-12","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","No","No","No","No","02 - Automobile","2016","KIA","RIO","SILVER","WHITE","F"
